--P, --R, --method, --metric , --hist-smooth, --blur, --ltp-threshold, --crop-seed, correct_matches, total, pct_correct       , highest_correct    , lowest_correct      , average_correct     , highest_incorrect  , lowest_incorrect    , average_incorrect   , csv_file                                   , results_json_file
  8,   1, ror     , hellinger, 1e-06        ,    1.0,               3,       99887,              36,    75, 48.0              , 0.13421680325298618, 0.04461923642368127 , 0.06788505773257775 , 0.12293772262655943, 0.04378524845204026 , 0.06789821334190559 , exp_8_1_ror_hellinger_1e-06_1.0_3_99887.csv, exp_8_1_ror_hellinger_1e-06_1.0_3_99887_results.json
  8,   1, ror     , hellinger, 1e-06        ,    1.0,               3,       77665,              35,    75, 46.666666666666664, 0.12100241254496223, 0.0458581387414734  , 0.06406615636935056 , 0.1029109402921558 , 0.04391414705607198 , 0.06325039509178207 , exp_8_1_ror_hellinger_1e-06_1.0_3_77665.csv, exp_8_1_ror_hellinger_1e-06_1.0_3_77665_results.json
  8,   1, ror     , hellinger, 1e-06        ,    1.0,               3,       55443,              39,    75, 52.0              , 0.10302505501154288, 0.028123884467661068, 0.06411298470015786 , 0.10553434355259134, 0.04790797009326416 , 0.06927169775716996 , exp_8_1_ror_hellinger_1e-06_1.0_3_55443.csv, exp_8_1_ror_hellinger_1e-06_1.0_3_55443_results.json
  8,   1, ror     , hellinger, 1e-06        ,    1.0,               3,       33221,              33,    75, 44.0              , 0.08780915135467225, 0.04714295806109756 , 0.06194656722888612 , 0.2371875154782822 , 0.05061743198051122 , 0.06865818280478252 , exp_8_1_ror_hellinger_1e-06_1.0_3_33221.csv, exp_8_1_ror_hellinger_1e-06_1.0_3_33221_results.json
  8,   1, ror     , hellinger, 1e-06        ,    1.0,               3,       11009,              32,    75, 42.666666666666664, 0.08133082206669714, 0.051297370864143155, 0.062423810505798635, 0.15919036954870655, 0.04338023065883504 , 0.07182363679692991 , exp_8_1_ror_hellinger_1e-06_1.0_3_11009.csv, exp_8_1_ror_hellinger_1e-06_1.0_3_11009_results.json
  8,   1, ror     , hellinger, 1e-06        ,    1.0,               3,        9999,              34,    75, 45.333333333333336, 0.10195244033065809, 0.04251598645703095 , 0.0631223724957238  , 0.12409096817259337, 0.04496457860718863 , 0.06790530153638512 , exp_8_1_ror_hellinger_1e-06_1.0_3_9999.csv , exp_8_1_ror_hellinger_1e-06_1.0_3_9999_results.json
  8,   1, ror     , hellinger, 1e-06        ,    1.0,               3,        8888,              31,    75, 41.333333333333336, 0.11253324756612787, 0.046542867532581536, 0.06816324255527612 , 0.09494994634963883, 0.0362991496694109  , 0.06435602921592237 , exp_8_1_ror_hellinger_1e-06_1.0_3_8888.csv , exp_8_1_ror_hellinger_1e-06_1.0_3_8888_results.json
  8,   1, ror     , hellinger, 1e-06        ,    1.0,               3,        7777,              33,    75, 44.0              , 0.11771127943914252, 0.05218446588418069 , 0.06892267511935347 , 0.23956636729659786, 0.04102031671832301 , 0.0732344467001258  , exp_8_1_ror_hellinger_1e-06_1.0_3_7777.csv , exp_8_1_ror_hellinger_1e-06_1.0_3_7777_results.json
  8,   1, ror     , hellinger, 1e-06        ,    1.0,               3,        6666,              39,    75, 52.0              , 0.10761618470372213, 0.04658423319493328 , 0.06810441496042799 , 0.09533094540246433, 0.04475086862333837 , 0.06427060052502283 , exp_8_1_ror_hellinger_1e-06_1.0_3_6666.csv , exp_8_1_ror_hellinger_1e-06_1.0_3_6666_results.json
  8,   1, ror     , hellinger, 1e-06        ,    1.0,               3,        5555,              43,    75, 57.333333333333336, 0.10758571634858084, 0.047220310396277804, 0.061545185698728175, 0.1430760925894694 , 0.05293063870437539 , 0.0735263646000209  , exp_8_1_ror_hellinger_1e-06_1.0_3_5555.csv , exp_8_1_ror_hellinger_1e-06_1.0_3_5555_results.json
